ID   source_index target_index  pSource.x   pSource.y    pSource.z   pTarget.x   pTarget.y    pTarget.z   currentR  endvertex 
 133      3872      11832      8.11719      -3.78125      -3.37      8.16406      -3.84375      -3.501      0.00386626      0
 134      11767      3872      8.16406      -3.84375      -3.501      8.13281      -3.875      -3.53      0.00155543      1
 135      11827      3872      8.16406      -3.84375      -3.501      8.21094      -3.90625      -3.537      0.00303735      0
 136      11820      11827      8.21094      -3.90625      -3.537      8.39844      -4      -3.59      0.0020169      0
 137      11784      11820      8.39844      -4      -3.59      8.5      -3.875      -3.75      0.000613032      1
 138      3905      3873      8.21094      -3.71875      -3.422      8.35938      -3.71875      -3.359      0.00215866      0
 139      3906      3873      8.21094      -3.71875      -3.422      8.26562      -3.84375      -3.44      0.00156876      0
 140      11775      3873      8.21094      -3.71875      -3.422      8.32812      -3.8125      -3.446      0.00126025      1
 141      11774      3906      8.26562      -3.84375      -3.44      8.28906      -3.875      -3.352      0.000238612      1
 142      11826      3906      8.26562      -3.84375      -3.44      8.26562      -3.84375      -3.474      0.000238612      1
 143      3878      3905      8.35938      -3.71875      -3.359      8.38281      -3.75      -3.336      0.00148162      0
 144      11776      3905      8.35938      -3.71875      -3.359      8.39844      -3.6875      -3.274      0.00129209      0
 145      11777      3905      8.35938      -3.71875      -3.359      8.42969      -3.625      -3.328      0.000759558      1
 146      11824      11776      8.39844      -3.6875      -3.274      8.49219      -3.625      -3.145      0.000449657      1
 147      3901      3878      8.38281      -3.75      -3.336      8.53125      -3.78125      -3.309      0.000791656      0
 148      11783      3878      8.38281      -3.75      -3.336      8.5      -3.84375      -3.399      0.00082778      0
 149      11825      3878      8.38281      -3.75      -3.336      8.34375      -3.78125      -3.304      0.000623449      1
 150      11819      11783      8.5      -3.84375      -3.399      8.49219      -3.90625      -3.374      0.000162153      1
 151      3884      3901      8.53125      -3.78125      -3.309      8.55469      -3.8125      -3.349      0.00013123      1
 152      3861      3860      7.96094      -3.5625      -3.317      7.99219      -3.5      -3.379      0.00169857      0
 153      3918      3860      7.96094      -3.5625      -3.317      8.03906      -3.5625      -3.334      0.00284592      0
 154      3917      3918      8.03906      -3.5625      -3.334      8.07982      -3.5591      -3.33217      0.00243588      0
 155      11760      3918      8.03906      -3.5625      -3.334      8.07031      -3.59375      -3.283      0.00120086      1
 156      3909      3917      8.07982      -3.5591      -3.33217      8.30469      -3.5      -3.208      0.00143287      0
 157      11768      3909      8.30469      -3.5      -3.208      8.3125      -3.5      -3.137      0.00040632      0
 158      11830      11768      8.3125      -3.5      -3.137      8.32812      -3.53125      -3.113      9.6776e-05      1
 159      3862      3861      7.99219      -3.5      -3.379      8.01258      -3.47332      -3.31185      0.000181484      1
 160      3814      3961      7.57031      -3.34375      -3.261      7.51562      -3.40625      -3.092      0.000499055      1
 161      3816      3961      7.57031      -3.34375      -3.261      7.57812      -3.25      -3.263      0.000499055      1
 162      3963      3962      7.38281      -3.59375      -3.315      7.32031      -3.6875      -3.311      0.000374388      1
 163      11705      3962      7.38281      -3.59375      -3.315      7.40625      -3.65625      -3.333      0.000594787      0
 164      11704      11705      7.40625      -3.65625      -3.333      7.36719      -3.71875      -3.351      0.000183601      1
 165      11898      11705      7.40625      -3.65625      -3.333      7.35938      -3.6875      -3.374      0.000183601      1
 166      11706      11896      7.45312      -3.53125      -3.597      7.46875      -3.5625      -3.597      7.8242e-05      1
